Код,id,торги,результаты,адрес,старт_цена,ИНН,фз,об_закупки,реестр_недобр_постав,общ_треб
10318,Закупка №0116300005617000261 rss,"250 150,00|229 165,00|75 380,00|",Лучшее предложение о цене контракта после победителя|Победитель|-|,"Российская Федерация, 678144, Саха /Якутия/ Респ, Ленский у, Ленск г, УЛ ЛЕНИНА, 65","326 526,10 Российский рубль",1414009962,44,"26.20.40.190.-.Комплектующие.и.запасные.части.для.вычислительных.машин.прочие,.не.включенные.в.другие.группировки",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10319,Закупка №0116300007017000536 rss,"267 690,00|267 690,00|","Победитель|Предложение о цене контракта такое же, как у победителя|","Российская Федерация, 678230, Саха /Якутия/ Респ, Верхневилюйский у, Верхневилюйск с, УЛ Г.ВАСИЛЬЕВА, 2","267 690,00 Российский рубль",1407005163,44,46.73.16.000.-.Выполнение.работ.по.ремонту.и.замене.ограждений.жилых.домов.для.малоимущих.граждан.с..Далыр.Верхневилюйского.улуса.&nbsp;-.приобретение.строительных.материалов,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10321,Закупка №0117100002617000043 rss,"499 000,00|215 000,00|148 799,84|251 885,00|",|Лучшее предложение о цене контракта после победителя|Победитель||,"Российская Федерация, 656038, Алтайский край, Барнаул г, УЛ МОЛОДЕЖНАЯ, 3","500 000,00 Российский рубль",2221172516,44,71.12.35.110.-.Проведение.кадастровых.работ.объектов.недвижимости.государственной.казны.Российской.Федерации,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10322,Закупка №0117100002617000044 rss,"499 000,00|265 000,00|148 801,00|349 193,96|",|Лучшее предложение о цене контракта после победителя|Победитель||,"Российская Федерация, 656038, Алтайский край, Барнаул г, УЛ МОЛОДЕЖНАЯ, 3","500 000,00 Российский рубль",2221172516,44,71.12.35.110.-.Проведение.кадастровых.работ.объектов.недвижимости.государственной.казны.Российской.Федерации,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10323,Закупка №0117100002617000045 rss,"499 000,00|210 000,00|148 798,80|348 498,61|",|Лучшее предложение о цене контракта после победителя|Победитель||,"Российская Федерация, 656038, Алтайский край, Барнаул г, УЛ МОЛОДЕЖНАЯ, 3","500 000,00 Российский рубль",2221172516,44,71.12.35.110.-.Проведение.кадастровых.работ.объектов.недвижимости.государственной.казны.Российской.Федерации,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10324,Закупка №0117100002617000046 rss,"499 000,00|235 000,00|148 797,34|298 580,48|",|Лучшее предложение о цене контракта после победителя|Победитель||,"Российская Федерация, 656038, Алтайский край, Барнаул г, УЛ МОЛОДЕЖНАЯ, 3","500 000,00 Российский рубль",2221172516,44,Проведение.кадастровых.работ.объектов.недвижимости.государственной.казны.Российской.Федерации,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10325,Закупка №0117100016017000053 rss,"258 750,00|258 750,00|","Победитель|Предложение о цене контракта такое же, как у победителя|","Российская Федерация, 659305, Алтайский край, Бийск г, ПЕР ВЛАДИМИРА МАРТЬЯНОВА, 59/1","258 750,00 Российский рубль",2204019780,44,28.25.12.130.-.Поставка.сплит-систем,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10334,Закупка №0119200000117009783 rss,"365 000,00|325 000,00|336 200,00|380 000,00|",Лучшее предложение о цене контракта после победителя|Победитель|-||,"Российская Федерация, 660021, Красноярский край, Красноярск г, УЛ КАРЛА МАРКСА, 122, 220","385 878,93 Российский рубль",2460071692,44,поставка.строительных.материалов.на.2017.год,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10335,Закупка №0119200000117009956 rss,"165 000,00|211 250,00|206 750,00|",Победитель||Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 660021, Красноярский край, Красноярск г, УЛ КАРЛА МАРКСА, 122, 220","253 416,50 Российский рубль",2460071692,44,Оснащение.транспортных.средств.категории.N2.техническими.средствами.контроля.(тахографами),,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10336,Закупка №0119200000117009980 rss,"310 000,00|208 228,99|336 000,00|339 000,00|338 500,00|242 000,00|399 700,00|350 000,00|",-|Победитель||||Лучшее предложение о цене контракта после победителя|||,"Российская Федерация, 660021, Красноярский край, Красноярск г, УЛ КАРЛА МАРКСА, 122, 220","410 178,97 Российский рубль",2460071692,44,№.ЗК.11818/17.«Монтаж.автоматической.установки.пожарной.сигнализации.и системы.оповещения.людей.о.пожаре.в.краевом.государственном.бюджетном учреждении.социального.обслуживания.Краевой.центр.семьи.и.детей»,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10337,Закупка №0119200000117009999 rss,"343 551,56|398 000,00|390 235,20|382 147,20|",Победитель|||Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 660021, Красноярский край, Красноярск г, УЛ КАРЛА МАРКСА, 122, 220","398 502,37 Российский рубль",2460071692,44,На.право.поставки.профлиста.оцинкованного.для.нужд.КГБУЗ.ККПТД.№.1.в.2017.году.субъектами.малого.предпринимательства.и.социально-ориентированными.некоммерческими.организациями,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10339,Закупка №0119200000117010302 rss,"420 000,00|470 820,00|399 000,00|414 900,00|",|-|Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 660021, Красноярский край, Красноярск г, УЛ КАРЛА МАРКСА, 122, 220","421 020,00 Российский рубль",2460071692,44,№.ЗК.11600/17.«Поставка.дезинфицирующего.средства.для.нужд.краевых.учреждений ветеринарии.в.2017.году».,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10343,Закупка №0120200002017000006 rss,"136 200,00|71 459,60|119 500,00|101 696,00|",|-|Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 690091, Приморский край, Владивосток г, УЛ АЛЕУТСКАЯ, 45 А, ОФИС 812","300 000,00 Российский рубль",2540151390,44,Личное.страхование.добровольных.пожарных,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
